id,project_is_approved
p233245,0.842
p096795,0.728
p236235,0.814
p233680,0.602
p171879,0.674
p016071,0.666
p099906,0.822
p200236,0.724
p129452,0.774
p186652,0.87
p257992,0.78
p055177,0.762
p069502,0.624
p099455,0.716
p226195,0.85
p048432,0.878
p028074,0.798
p188220,0.536
p213507,0.772
p006068,0.674
p124112,0.824
p190450,0.826
p180156,0.744
p025868,0.728
p134875,0.662
p169259,0.728
p124445,0.78
p090153,0.724
p086796,0.764
p101412,0.838
p249795,0.784
p185278,0.692
p052706,0.642
p118380,0.838
p258109,0.786
p033638,0.782
p190269,0.906
p166424,0.694
p128851,0.718
p059448,0.794
p020036,0.616
p241422,0.792
p155492,0.644
p062100,0.798
p159786,0.726
p144841,0.75
p085470,0.716
p130095,0.686
p047018,0.83
p016587,0.61
p087209,0.652
p188130,0.754
p101731,0.704
p232762,0.874
p167483,0.796
p076351,0.65
p185000,0.844
p101086,0.78
p026220,0.894
p028685,0.688
p069530,0.756
p056829,0.678
p047088,0.762
p134783,0.694
p033569,0.686
p066632,0.64
p249875,0.83
p246378,0.766
p088359,0.814
p068216,0.708
p132793,0.866
p012075,0.848
p034160,0.87
p164095,0.738
p101374,0.612
p179164,0.712
p144206,0.742
p117651,0.604
p037059,0.77
p156849,0.76
p096892,0.742
p161212,0.694
p099186,0.636
p124024,0.748
p200265,0.79
p034357,0.854
p177052,0.652
p127983,0.646
p257497,0.83
p017783,0.726
p036670,0.796
p187035,0.796
p251797,0.774
p081183,0.838
p211028,0.778
p197996,0.85
p175648,0.76
p069955,0.86
p126285,0.682
p073482,0.676
p021363,0.778
p018483,0.714
p120512,0.838
p224623,0.742
p046024,0.848
p128133,0.608
p111612,0.866
p216008,0.788
p250197,0.64
p038264,0.86
p037304,0.766
p233182,0.672
p187950,0.874
p194163,0.732
p123572,0.756
p213676,0.692
p242177,0.846
p228376,0.714
p098358,0.77
p208182,0.746
p192069,0.72
p125208,0.866
p068618,0.7
p250399,0.74
p096146,0.902
p014072,0.6
p170811,0.702
p016865,0.672
p000502,0.866
p243659,0.856
p123641,0.804
p179222,0.76
p119669,0.804
p224232,0.878
p113196,0.76
p197404,0.826
p040348,0.832
p220547,0.536
p152772,0.588
p227843,0.838
p243822,0.682
p042663,0.704
p103616,0.616
p119315,0.682
p112683,0.902
p134225,0.608
p178686,0.588
p104414,0.636
p196430,0.726
p121265,0.794
p002111,0.816
p048656,0.754
p100742,0.766
p240945,0.812
p196948,0.706
p161397,0.862
p085333,0.756
p051174,0.78
p226030,0.886
p200031,0.886
p099283,0.748
p012888,0.838
p213138,0.636
p259594,0.762
p169939,0.692
p189829,0.724
p180698,0.758
p041111,0.79
p108577,0.688
p024499,0.694
p009156,0.794
p154797,0.674
p019957,0.844
p137043,0.866
p183936,0.876
p143641,0.654
p201920,0.674
p169193,0.76
p215466,0.79
p124527,0.69
p241030,0.64
p252968,0.778
p090991,0.67
p138331,0.636
p199355,0.814
p084300,0.658
p096238,0.786
p081530,0.878
