id,project_is_approved
p233245,0.906080477
p096795,0.799049899
p236235,0.906080477
p233680,0.666997284
p171879,0.831631616
p016071,0.764784947
p099906,0.894794285
p200236,0.862744793
p129452,0.791547507
p186652,0.906080477
p257992,0.791808799
p055177,0.847893402
p069502,0.706529826
p099455,0.696895093
p226195,0.912173577
p048432,0.91234415
p028074,0.917157821
p188220,0.645776659
p213507,0.803056896
p006068,0.712055713
p124112,0.905969776
p190450,0.897768602
p180156,0.82261014
p025868,0.802428946
p134875,0.739177674
p169259,0.838476196
p124445,0.851695925
p090153,0.814737394
p086796,0.793945402
p101412,0.84993495
p249795,0.849719495
p185278,0.731896639
p052706,0.6696091
p118380,0.906080477
p258109,0.900748029
p033638,0.845679969
p190269,0.905619673
p166424,0.839808956
p128851,0.835760519
p059448,0.877923414
p020036,0.661903173
p241422,0.893086493
p155492,0.647051781
p062100,0.887393154
p159786,0.753811538
p144841,0.819291353
p085470,0.847195253
p130095,0.696134269
p047018,0.911624938
p016587,0.654999197
p087209,0.682266384
p188130,0.790086791
p101731,0.692916214
p232762,0.924997598
p167483,0.8503813
p076351,0.662600815
p185000,0.906080477
p101086,0.813331991
p026220,0.899651289
p028685,0.679238319
p069530,0.788900062
p056829,0.733378172
p047088,0.862744793
p134783,0.701723546
p033569,0.70168224
p066632,0.677334636
p249875,0.917093195
p246378,0.84902826
p088359,0.909093946
p068216,0.76309599
p132793,0.906080477
p012075,0.908666901
p034160,0.917093195
p164095,0.802034989
p101374,0.699946433
p179164,0.706700116
p144206,0.792649508
p117651,0.711291552
p037059,0.823867962
p156849,0.857356817
p096892,0.824549571
p161212,0.716781259
p099186,0.752661794
p124024,0.77976802
p200265,0.81645979
p034357,0.911624938
p177052,0.650913179
p127983,0.649465173
p257497,0.886489667
p017783,0.751204059
p036670,0.918418922
p187035,0.831431851
p251797,0.881436668
p081183,0.906080477
p211028,0.803721279
p197996,0.909834333
p175648,0.868481964
p069955,0.912173577
p126285,0.769555822
p073482,0.729546934
p021363,0.818013921
p018483,0.826310143
p120512,0.906657703
p224623,0.856637552
p046024,0.916630998
p128133,0.65660429
p111612,0.907084703
p216008,0.817176476
p250197,0.713277876
p038264,0.912173577
p037304,0.874351978
p233182,0.742239445
p187950,0.906080477
p194163,0.840673566
p123572,0.850714877
p213676,0.664706588
p242177,0.906628318
p228376,0.860417008
p098358,0.798423529
p208182,0.856377155
p192069,0.818468556
p125208,0.906080477
p068618,0.738327324
p250399,0.758222103
p096146,0.906080477
p014072,0.645776659
p170811,0.756606996
p016865,0.701723546
p000502,0.924170777
p243659,0.883053213
p123641,0.905619673
p179222,0.835325673
p119669,0.887594238
p224232,0.912173577
p113196,0.713438481
p197404,0.883997455
p040348,0.895392016
p220547,0.638091236
p152772,0.713537335
p227843,0.906080477
p243822,0.704888642
p042663,0.725646824
p103616,0.683217674
p119315,0.806066871
p112683,0.906080477
p134225,0.661338329
p178686,0.69778049
p104414,0.781091183
p196430,0.856047839
p121265,0.799350023
p002111,0.906080477
p048656,0.802917719
p100742,0.809397683
p240945,0.882996291
p196948,0.787054583
p161397,0.906628318
p085333,0.750937954
p051174,0.84877871
p226030,0.912173577
p200031,0.899151042
p099283,0.732666939
p012888,0.918418922
p213138,0.746198863
p259594,0.895571806
p169939,0.722954094
p189829,0.726023495
p180698,0.805820972
p041111,0.847893402
p108577,0.698400676
p024499,0.719840854
p009156,0.883151159
p154797,0.656420469
p019957,0.875519462
p137043,0.912843786
p183936,0.906080477
p143641,0.730846465
p201920,0.69428575
p169193,0.788894713
p215466,0.752328679
p124527,0.756782681
p241030,0.738895625
p252968,0.740082473
p090991,0.715998948
p138331,0.685588688
p199355,0.874514699
p084300,0.724061608
p096238,0.86210376
p081530,0.905332215
p178898,0.917157821
p177763,0.856521115
p175360,0.860881522
p218759,0.801318467
p225010,0.858975694
p015130,0.86210376
p161752,0.77362141
p152538,0.906080477
p237080,0.739259094
p199291,0.906080477
p136751,0.782982066
p108958,0.9128647
p110542,0.884045459
p043509,0.80019179
p251751,0.691599905
p241189,0.921942286
p194788,0.722704142
p175510,0.693867832
p113659,0.812989101
p038018,0.671536267
p109620,0.800201237
p198992,0.851695925
p001237,0.665275097
p156569,0.70168224
p183302,0.846363202
p068100,0.811647192
p013384,0.86241287
p189300,0.667052507
p185448,0.83394587
p140668,0.83649388
p070387,0.81736061
p033345,0.846019804
p049875,0.862744793
p112795,0.771932751
p042765,0.774237752
p183727,0.834612638
p258333,0.90331424
p164654,0.71054545
p111121,0.924997598
p007364,0.906080477
p235281,0.732666939
p184766,0.801739335
p118290,0.864055976
p134315,0.677594006
p008931,0.815101534
p193216,0.826310143
p099504,0.818236768
p185939,0.770271853
p212541,0.915822998
p057050,0.817460775
p235964,0.720999926
p019799,0.876594797
p226343,0.851037145
p247942,0.907084703
p034876,0.899382181
p127034,0.805619746
p122910,0.720112324
p112781,0.665848136
p167054,0.906080477
p091175,0.75279887
p192661,0.906549916
p254171,0.788894713
p056473,0.912173577
p186773,0.84243311
p005448,0.6418854
p127039,0.649900496
p019902,0.912615515
p109258,0.841289327
p256814,0.722954094
p086119,0.901412614
p085718,0.771341145
p000341,0.757880375
p153871,0.754121393
p015527,0.915822387
p180082,0.841279924
p114608,0.906080477
p255258,0.732666939
p074885,0.70060879
p158107,0.836504012
p194785,0.74388212
p053919,0.837985441
p118270,0.807955027
p173735,0.916136414
p166438,0.753614828
p229032,0.891521662
p126693,0.86746411
p093408,0.720401913
p078376,0.857093766
p256718,0.818256602
p257276,0.849719495
p139883,0.908417664
p112417,0.644003272
p006285,0.907084703
p158702,0.859031588
p180517,0.913315393
p103302,0.923880488
p085035,0.760724127
p052579,0.896173492
p034767,0.796040416
p164787,0.704847574
p068805,0.663105398
p099314,0.840673566
p247448,0.677369088
p010132,0.863387078
p149889,0.912173577
p244732,0.906549916
p132573,0.863648668
p022004,0.867989704
p232062,0.820488289
p227193,0.91740825
p001484,0.84200941
p212354,0.682028174
p218435,0.784696862
p070650,0.695297331
p088920,0.644036025
p121609,0.906080477
p050858,0.900705472
p132912,0.836695746
p150879,0.731086254
p243365,0.764416143
p114677,0.803095862
p228243,0.838903442
p042290,0.844624847
p104397,0.863616616
p042280,0.670392126
p137702,0.665275097
p084377,0.917981863
p041654,0.700202793
p119772,0.80634442
p098282,0.79268235
p087508,0.862744793
p107066,0.812713861
p241315,0.637717932
p034181,0.770512521
